#,Player,GP,GS,MIN,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK
03,"mintz, judah",32,31,1087,34.0,188,429,.438,24,85,.282,202,264,.765,602,18.8,15,88,103,3.2,70,142,94,67,4
02,"starling, j.j.",32,32,1102,34.4,171,373,.458,44,136,.324,40,56,.714,426,13.3,20,83,103,3.2,42,60,55,27,6
04,"bell, chris",32,32,867,27.1,134,309,.434,84,200,.420,32,38,.842,384,12.0,6,69,75,2.3,58,21,26,18,22
24,"copeland, quadir",32,1,715,22.3,107,224,.478,11,44,.250,82,120,.683,307,9.6,40,108,148,4.6,75,89,64,47,6
01,"brown, maliq",32,18,946,29.6,127,182,.698,7,18,.389,44,61,.721,305,9.5,75,155,230,7.2,97,59,41,71,29
13,"williams, benny",18,0,307,17.1,38,95,.400,7,34,.206,14,26,.538,97,5.4,16,55,71,3.9,34,22,21,17,16
05,"taylor, justin",32,32,742,23.2,57,162,.352,25,83,.301,20,31,.645,159,5.0,12,115,127,4.0,38,31,27,23,8
10,"mcleod, naheem",14,14,202,14.4,19,32,.594,0,0,.000,16,23,.696,54,3.9,30,30,60,4.3,11,1,6,3,27
00,"cuffe, jr.,kyle",29,0,309,10.7,35,86,.407,16,47,.340,6,13,.462,92,3.2,10,20,30,1.0,43,15,16,14,6
14,"ruffin, niko",2,0,4,2.0,1,2,.500,1,2,.500,0,0,.000,3,1.5,0,1,1,0.5,0,0,0,0,0
23,"carey, peter",14,0,71,5.1,4,14,.286,0,0,.000,1,2,.500,9,0.6,3,9,12,0.9,18,1,0,3,2
55,"hima, mounir",13,0,44,3.4,2,3,.667,0,0,.000,0,0,.000,4,0.3,2,4,6,0.5,7,1,1,0,3
12,"clayton, anthony",2,0,4,2.0,0,4,.000,0,1,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
